"Area"	"Mean"	"Min"	"Max"	"BX"	"BY"	"Width"	"Height"	"Feret"	"FeretX"	"FeretY"	"FeretAngle"	"MinFeret"	"source"	"pbad24"	"pbad33"
1.362	255	255	255	151.541	66.447	1.699	1.297	1.703	3390	1508	13.671	1.297	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.988	255	255	255	134.415	66.805	1.207	1.073	1.271	3008	1495	129.289	1.069	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.34	255	255	255	129.407	67.207	0.715	1.163	1.176	2903	1503	98.746	0.715	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.846	255	255	255	129.854	68.415	1.163	1.028	1.204	2904	1536	164.932	1.022	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.97	255	255	255	137.232	69.577	1.297	1.118	1.342	3070	1561	150.018	1.108	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
1.132	255	255	255	195.809	70.382	1.297	1.207	1.329	4380	1591	19.654	1.175	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.546	255	255	255	183.736	72.439	0.939	0.76	1.005	4109	1632	20.854	0.76	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.304	255	255	255	185.659	72.886	1.118	0.447	1.126	4152	1631	173.157	0.444	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.53	255	255	255	176.715	73.467	0.671	1.297	1.324	3956	1672	78.311	0.67	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.338	255	255	255	161.959	75.033	0.626	0.894	0.934	3627	1698	73.301	0.595	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.812	255	255	255	172.289	77.313	1.252	1.118	1.381	3853	1734	150.945	0.927	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.332	255	255	255	172.065	77.671	0.894	0.76	1.077	3850	1738	138.366	0.488	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
1.12	255	255	255	179.533	78.341	1.341	1.207	1.38	4016	1770	24.905	1.16	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
1.016	255	255	255	133.61	79.37	1.207	1.163	1.28	2996	1801	65.225	1.096	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.452	255	255	255	137.947	79.862	0.984	0.76	0.988	3085	1792	5.194	0.756	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
1.004	255	255	255	154.313	79.996	1.252	1.118	1.315	3454	1810	35.311	1.112	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.912	255	255	255	141.033	80.309	1.207	1.028	1.266	3157	1797	132.138	1.028	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.696	255	255	255	138.439	80.488	1.028	0.984	1.092	3102	1822	55.008	0.953	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.92	255	255	255	141.614	81.337	1.207	1.252	1.42	3174	1819	118.179	1.072	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
