Colony_width	EFP_plasmid	EarP_plasmid
0.76	N.communis	earp
0.76	N.communis	earp
1.386	N.communis	earp
1.431	N.communis	earp
1.297	N.communis	earp
1.297	N.communis	earp
1.341	N.communis	earp
1.386	N.communis	earp
1.252	N.communis	earp
1.297	N.communis	earp
1.341	N.communis	earp
1.118	N.communis	earp
0.939	N.communis	earp
1.252	N.communis	earp
1.073	N.communis	earp
1.297	N.communis	earp
1.252	N.communis	earp
1.386	N.communis	earp
0.715	N.communis	earp
0.85	N.communis	earp
1.297	N.communis	earp
1.341	N.communis	earp
1.386	N.communis	earp
1.118	N.communis	earp
0.715	N.communis	earp
1.252	N.communis	earp
1.386	N.communis	earp
1.252	N.communis	earp
1.073	N.communis	earp
1.386	N.communis	earp
1.476	N.communis	earp
1.207	N.communis	earp
1.341	N.communis	earp
1.252	N.communis	earp
0.939	N.communis	earp
1.386	N.communis	earp
1.431	N.communis	earp
1.341	N.communis	earp
1.386	N.communis	earp
1.207	N.communis	earp
1.341	N.communis	earp
1.297	N.communis	earp
1.386	N.communis	earp
1.386	N.communis	earp
1.297	N.communis	earp
1.52	N.communis	earp
1.431	N.communis	earp
1.297	N.communis	earp
1.386	N.communis	earp
1.476	N.communis	earp
1.386	N.communis	earp
0.313	N.communis	earp
1.476	P.putida	earp
1.52	P.putida	earp
1.341	P.putida	earp
1.431	P.putida	earp
1.163	P.putida	earp
1.431	P.putida	earp
1.431	P.putida	earp
1.476	P.putida	earp
1.341	P.putida	earp
1.61	P.putida	earp
1.52	P.putida	earp
1.386	P.putida	earp
1.476	P.putida	earp
0.447	P.putida	earp
1.386	P.putida	earp
0.939	P.putida	earp
1.476	P.putida	earp
1.654	P.putida	earp
1.386	P.putida	earp
0.447	P.putida	earp
1.297	P.putida	earp
1.476	P.putida	earp
1.52	P.putida	earp
1.61	P.putida	earp
1.252	P.putida	earp
1.476	P.putida	earp
1.61	P.putida	earp
1.297	P.putida	earp
1.565	P.putida	earp
1.61	P.putida	earp
1.386	P.putida	earp
1.565	P.putida	earp
1.431	P.putida	earp
0.894	P.putida	earp
1.431	P.putida	earp
1.431	P.putida	earp
1.654	P.putida	earp
1.207	P.putida	earp
0.894	P.putida	earp
1.386	P.putida	earp
1.52	P.putida	earp
1.386	P.putida	earp
1.341	P.putida	earp
1.252	P.putida	earp
2.37	P.putida	earp
1.431	P.putida	earp
1.341	P.putida	earp
1.789	P.putida	earp
1.52	P.putida	earp
1.431	P.putida	earp
1.61	P.putida	earp
0.984	P.putida	earp
1.52	P.putida	earp
1.52	P.putida	earp
1.386	P.putida	earp
1.431	P.putida	earp
1.565	P.putida	earp
1.565	P.putida	earp
1.431	P.putida	earp
0.85	P.putida	earp
1.297	P.putida	earp
1.476	P.putida	earp
1.654	P.putida	earp
0.805	P.putida	earp
1.476	P.putida	earp
1.61	P.putida	earp
1.386	P.putida	earp
1.163	P.putida	earp
1.341	P.putida	earp
1.565	P.putida	earp
1.431	P.putida	earp
1.297	P.putida	earp
1.431	P.putida	earp
1.52	P.putida	earp
1.565	P.putida	earp
1.61	P.putida	earp
1.386	P.putida	earp
1.52	P.putida	earp
1.431	P.putida	earp
1.386	P.putida	earp
1.028	P.putida	earp
1.341	P.putida	earp
1.431	P.putida	earp
1.252	P.putida	earp
1.476	P.putida	earp
1.431	P.putida	earp
1.52	P.putida	earp
1.431	P.putida	earp
0.894	P.putida	earp
1.61	P.putida	earp
1.341	P.putida	earp
1.654	P.putida	earp
1.297	P.putida	earp
1.431	P.putida	earp
1.386	P.putida	earp
1.297	P.putida	earp
1.476	P.putida	earp
1.967	P.putida	earp
1.923	P.putida	earp
1.52	P.putida	earp
1.431	P.putida	earp
1.52	P.putida	earp
1.654	P.putida	earp
1.341	P.putida	earp
1.476	P.putida	earp
1.386	P.putida	earp
1.476	P.putida	earp
0.85	P.putida	earp
1.297	P.putida	earp
1.341	P.putida	earp
1.654	P.putida	earp
1.297	P.putida	earp
1.699	P.putida	earp
1.297	P.putida	earp
1.386	P.putida	earp
1.52	P.putida	earp
1.52	P.putida	earp
1.565	P.putida	earp
1.476	P.putida	earp
0.939	P.putida	earp
1.431	P.putida	earp
1.207	P.putida	earp
1.476	P.putida	earp
1.163	P.putida	earp
1.654	P.putida	earp
1.341	P.putida	earp
0.805	P.putida	earp
0.85	P.putida	earp
1.073	P.putida	earp
1.386	P.putida	earp
1.297	P.putida	earp
1.565	P.putida	earp
1.431	P.putida	earp
1.431	P.putida	earp
1.297	P.putida	earp
1.476	P.putida	earp
1.341	P.putida	earp
2.236	P.putida	earp
1.118	P.putida	earp
1.386	P.putida	earp
0.76	P.putida	earp
1.252	P.putida	earp
1.431	P.putida	earp
1.386	P.putida	earp
1.565	P.putida	earp
1.476	P.putida	earp
1.565	P.putida	earp
0.805	S.oneidensis	earp
1.386	S.oneidensis	earp
1.476	S.oneidensis	earp
1.699	S.oneidensis	earp
1.386	S.oneidensis	earp
1.207	S.oneidensis	earp
1.341	S.oneidensis	earp
1.52	S.oneidensis	earp
0.805	S.oneidensis	earp
1.341	S.oneidensis	earp
1.163	S.oneidensis	earp
1.118	S.oneidensis	earp
1.476	S.oneidensis	earp
0.984	S.oneidensis	earp
1.476	S.oneidensis	earp
1.476	S.oneidensis	earp
1.341	S.oneidensis	earp
1.073	S.oneidensis	earp
0.671	S.oneidensis	earp
0.626	S.oneidensis	earp
0.894	S.oneidensis	earp
1.476	S.oneidensis	earp
0.671	S.oneidensis	earp
1.431	S.oneidensis	earp
1.297	S.oneidensis	earp
1.431	S.oneidensis	earp
1.297	S.oneidensis	earp
1.341	S.oneidensis	earp
1.341	S.oneidensis	earp
1.967	S.oneidensis	earp
1.386	S.oneidensis	earp
1.386	S.oneidensis	earp
1.073	S.oneidensis	earp
1.297	S.oneidensis	earp
1.207	S.oneidensis	earp
1.431	S.oneidensis	earp
1.163	S.oneidensis	earp
1.386	S.oneidensis	earp
1.52	S.oneidensis	earp
1.431	S.oneidensis	earp
1.386	S.oneidensis	earp
0.894	S.oneidensis	earp
1.476	S.oneidensis	earp
1.252	S.oneidensis	earp
1.341	S.oneidensis	earp
1.476	S.oneidensis	earp
1.386	S.oneidensis	earp
1.297	S.oneidensis	earp
1.297	S.oneidensis	earp
1.789	S.oneidensis	earp
1.341	S.oneidensis	earp
1.297	S.oneidensis	earp
1.073	S.oneidensis	earp
0.76	S.oneidensis	earp
1.207	S.oneidensis	earp
1.386	S.oneidensis	earp
1.386	S.oneidensis	earp
1.476	S.oneidensis	earp
1.341	S.oneidensis	earp
1.431	S.oneidensis	earp
1.833	S.oneidensis	earp
1.297	S.oneidensis	earp
1.297	S.oneidensis	earp
1.61	S.oneidensis	earp
1.386	S.oneidensis	earp
1.028	S.oneidensis	earp
0.984	S.oneidensis	earp
1.431	S.oneidensis	earp
1.431	S.oneidensis	earp
1.476	S.oneidensis	earp
1.341	S.oneidensis	earp
1.476	S.oneidensis	earp
0.671	S.oneidensis	earp
0.85	S.oneidensis	earp
0.447	S.oneidensis	earp
1.61	S.oneidensis	earp
1.386	S.oneidensis	earp
